Truck_ID,Mileage_km,Engine_Hours,Truck_Age_Years,Previous_Repairs,Load_Weight_Tons,Average_Speed_kmh,Days_Since_Last_Service,Fuel_Type,Maintenance_Needed
T1001,131958.0,5048.0,14,2,22.8,53,383,Petrol,Yes
T1002,156867.0,3567.0,4,6,7.8,33,477,Diesel,Yes
T1003,141932.0,1315.0,9,5,24.1,49,293,Diesel,Yes
T1004,113694.0,5254.0,6,1,18.9,66,130,Diesel,Yes
T1005,129879.0,5142.0,13,5,5.2,33,116,,Yes
T1006,120268.0,5811.0,11,1,13.6,64,430,Diesel,Yes
T1007,64886.0,3620.0,3,1,26.2,49,184,Diesel,Yes
T1008,147337.0,516.0,1,1,27.8,29,494,Diesel,No
T1009,178266.0,7839.0,4,2,15.0,35,213,Diesel,No
T1010,97498.0,1743.0,12,1,15.5,83,174,Diesel,Yes
T1011,122727.0,2705.0,13,3,27.7,62,314,Diesel,Yes
T1012,136324.0,3024.0,9,8,18.4,29,129,Diesel,Yes
T1013,26023.0,1569.0,3,5,2.9,72,53,Diesel,Yes
T1014,51090.0,3944.0,12,0,27.6,42,321,Diesel,Yes
T1015,77221.0,3065.0,9,7,9.0,61,165,Petrol,Yes
T1016,74820.0,6742.0,7,6,18.2,84,376,Diesel,Yes
T1017,10769.0,6364.0,12,2,6.6,72,216,Diesel,Yes
T1018,69735.0,1560.0,14,0,2.9,52,399,Diesel,Yes
T1019,74925.0,2827.0,15,4,10.7,64,117,Diesel,Yes
T1020,15311.0,3920.0,4,3,23.9,69,260,Diesel,No
T1021,113355.0,7140.0,3,7,9.8,86,454,Diesel,Yes
T1022,95305.0,801.0,10,0,8.2,82,413,Diesel,Yes
T1023,169765.0,4776.0,15,0,8.0,80,379,Diesel,Yes
T1024,140608.0,1106.0,5,3,16.4,64,343,Diesel,Yes
T1025,166730.0,3670.0,5,7,29.3,64,139,Diesel,Yes
T1026,94478.0,1199.0,3,4,14.9,57,466,Petrol,No
T1027,132537.0,5588.0,12,1,17.6,30,302,Diesel,Yes
T1028,159503.0,1639.0,9,5,26.1,43,29,Diesel,No
T1029,140523.0,690.0,4,4,17.0,64,291,Diesel,No
T1030,12747.0,2800.0,11,1,7.2,83,294,Diesel,Yes
T1031,133855.0,1480.0,5,2,10.4,83,10,Diesel,Yes
T1032,75725.0,3475.0,4,8,10.7,72,128,Diesel,No
T1033,139981.0,6602.0,5,6,13.1,65,44,Petrol,Yes
T1034,94654.0,1684.0,7,6,14.0,37,207,Diesel,Yes
T1035,176845.0,3827.0,9,5,24.4,69,494,Diesel,Yes
T1036,129346.0,3894.0,7,7,11.8,77,254,Diesel,Yes
T1037,77435.0,627.0,13,3,15.1,66,68,Diesel,Yes
T1038,66886.0,2565.0,5,7,19.5,87,334,Diesel,Yes
T1039,76803.0,2316.0,10,3,12.6,51,170,Diesel,Yes
T1040,41551.0,,10,7,25.4,62,188,Diesel,Yes
T1041,126216.0,7209.0,7,8,18.4,84,215,Petrol,Yes
T1042,21394.0,1069.0,14,2,10.2,31,21,Diesel,Yes
T1043,79092.0,5942.0,15,2,22.0,29,499,Diesel,No
T1044,13890.0,2395.0,10,1,16.8,69,285,Diesel,Yes
T1045,51606.0,3233.0,5,2,17.0,82,190,Diesel,No
T1046,97313.0,4363.0,3,2,15.5,55,251,Diesel,Yes
T1047,151699.0,5221.0,7,4,15.9,47,225,Diesel,Yes
T1048,18792.0,7955.0,13,4,23.4,66,260,Diesel,Yes
T1049,164969.0,4514.0,11,1,4.9,34,308,Diesel,No
T1050,78148.0,3401.0,11,5,11.4,56,135,Diesel,No
T1051,134243.0,2186.0,2,4,4.1,77,491,Diesel,No
T1052,130174.0,3509.0,15,5,23.1,54,226,Petrol,Yes
T1053,164555.0,654.0,12,0,9.6,63,315,Diesel,Yes
T1054,134358.0,3037.0,9,4,27.1,55,294,Diesel,Yes
T1055,58555.0,1909.0,10,8,16.7,26,194,Diesel,Yes
T1056,27159.0,4557.0,10,1,24.4,36,48,Diesel,Yes
T1057,120510.0,1284.0,12,0,29.4,63,232,Diesel,Yes
T1058,116530.0,3675.0,1,8,25.5,37,193,Petrol,Yes
T1059,90077.0,4841.0,13,8,26.3,70,436,Diesel,Yes
